క్రియ,అర్థం,Root word,To Know : 3,To Move : 4,To Do : 5 ,To Have : 6,To Be : 7,To Cut : 8 ,To Bound : 9,,
అసలారు-ఎసలారు,"అతిశఇల్లు,అధికమగు 2.ఒప్పు",,,,,1,,,,ఆమె మాటలు బాగా అసలారుతాయి,
అసలుకొను,"బురదవలెనగు 2.పంకిలమగు,బురద కలదియగు",,,,,2,,,1,తామర పువ్వుకు బురద అసలుకున్నది,తారు లేదా సిమెంట్ రోడ్ లేని గ్రామాలు అసలుకొంటాయి
అసియాడు,"కదలు,అల్లలాడు;వడకు 2.చలించు,చెదరు 3.సంచరించు,తిరుగు",,,2,1,,,,, తుఫాను భయానికి అసియాడుతున్నారు,తుఫాను గాలికి చెట్లన్నీ అసియాడుతున్నాయి
అసివోవు,"క్షీణించు,నశించు 2.తప్పిపోవు",,,1,,,,2,,మానవత్వం అసివోతుంది,tubelight కాంతి అసివోతుంది
ఆకపడు,"నిరుద్ధమగు,ఆటంకమునొందు",,,,,,2,,1,ఆరోగ్యం బాగోలేక చదువుకు ఆకపడింది,తూఫానుల వల్ల రవాణా ఆకపడింది
ఆకలిగొను,"క్షుత్తునొందు,క్షుధితమగు",,,,,,1,1,,ఉదయం నుండి ఆకలిగొన్నాను,
ఆకొను,"ఆకలిగొను,క్షుత్తునొందు",,,1,,,1,,,నిన్నటి నుండి తినుటకు ఏమిలేక ఆకొన్నాను,
ఆగు,"నిలబడు,నిలిచిపోవు 2.సైచు,ఓర్చు 3.ఉడుగు,విరమించు",,,,,,1,,,పెరిగిన ధరలకి నిరసనగా వాహనాలు ఆగిపోయాయి,
ఆక్రోశించు,"(భయాదులచే)అరచు,వాపోవు",,,,1,,,,,పెరిగిన ధరలు చూసి జనాలు ఆక్రోశించారు,పాముని చూసి పిల్లలుఆక్రోశించారు
ఆగుబ్బుకొను,"అతిశయించు,వ్యాపించు",,,1,,,,2,,,
ఆగుబ్బులురేగు,"మిక్కుటమగు,అతిశయించు",,2,,,1,,,,,
ఆజ్ఞపడు(ఆజ్ఞ+పడు),"ఆజ్ఞావశుడగు;చిక్కు,తగులువడు",,,2,,1,,,,,
ఆడికపడు,"దూరుపడు,నిందితుడగు",,2,,,,,1,,,
ఆడు,"చలించు,కదలు 2.(అవయవాదులు స్వకార్యమందు)ప్రవర్తించు 3.సంచరించు,తిరుగు;విహరించు 4.మునుగు,స్నానముచేయు 5.క్రీడించు 6.నర్తించు 7.కాడు,గ్రుచ్చుకొను",,2,1,,,,,,,
ఆతురపడు,"తొందరపడు,త్వరపడు",,,,1,,,,2,,
ఆత్రపడు,"త్వరపడు,కలవలపడు",,1,,,,,2,,,
ఆదటపోవు,"తనియు,తృప్తినొందు",,2,1,,,,,,,
ఆదమరచు,"స్మృతితప్పు,వివశత్వము నొందు 2.ఉన్మత్తుడగు 3.ప్రమత్తుడగు",,2,,1,,,,,,
ఆదికొ(గొ)ను,ఎదుర్కొను,,2,,,,1,,,,
ఆదుకొను,"క్రమ్ము 2.ప్రాపగు,ఆధారమగు",,,1,,1,,,,,
ఆను,"మోచు,అంటు;నిలిచియుండు 2.గోచరమగు,కనబడు 3.నచ్చు,ఇష్టమగు",,,1,2,,,,,,
ఆపోవు(ఆదట+పోవు),తృప్తినొందు,,,,1,,,,,,
ఆమతించు-ఆమతిలు,"పుట్టు,కలుగు",,,2,,,1,,,,
ఆముకవియు,"మదమెక్కు,క్రొవ్వు 2.అధికముగావ్యాపించు,మిక్కుటముగాపర్వు",,,,1,,,,,,
ఆయత్తపడు(ఆయత్తము+పడు),సిద్ధపడు,,,1,,,1,,,,
ఆయాసపడు(ఆయాసము+పడు),శ్రమపడు,,,1,2,,,,,,
ఆయితపడు-ఆయిత్తపడు,"సిద్ధపడు,సిద్ధమగు",,,,2,,1,,,,
ఆయిత్తపడు-ఆయితపడు,"సిద్ధపడు,సిద్ధమగు",,,1,2,బులియు,,,,,
ఆరటపడు,సంతాపపడు;బాధపడు,,,1,,2,,,,,
ఆరటించు,"ఆరటపడు,పరితపించు",,,,1,,,,,,
ఆరాటించు-ఆరటించు,"ఆరాటపడు,తపించు,ఏడ్చు",,,,1,,,,,,
ఆరితేరు,"సమర్ధుడగు,నిపుణడగు,దిటవగు",,,1,,2,,,,,
ఆరు,"కలుగు,జనించు 2.ఒప్పు 3.అతిశఇల్లు 4.నిండు,పూర్ణమగు",,2,1,,,,,,,
ఆర్చు-ఆరుచు,"అరచు,బొబ్బరించు,ఘోషించు",,,1,2,,,,,,
ఆరడిచేయు,"వ్యర్థముచేయు,నిష్ప్హలము చేయు",,,2,1,,,,,,
ఆరడిపడు,"ఆరడినొందు,వ్యర్ధమగు,కృతకృత్యముగాక యుండు",,,2,1,,,,,,
ఆరణివో(పో)వు,"వ్యర్థమగు,నిష్ఫలమగు 2.చెడు,భగ్నమగు 3.చచ్చు",,,2,,,1,,,,
ఆరు,"నిర్ద్రవమగు,శుష్కమగు,ఎండు 2.(స్వేదాదులు)పోవు 3.తీరు,ఉపశమిల్లు,నశించు 4.(దీపాదులు)పోవు,మలుగు;చల్లారు 5.క్షీణించు,తగ్గు",,,,,,1,2,,,
ఆవటిలు(ల్లు),పొందుపడు 2.కలుగు,,,2,,,1,,,,
ఆవపారు,జ్ఞప్తికి వచ్చు 2.తోచు,,,2,,,,1,,,
ఆలసించు,"ఆలస్యముచేయు,జాగుచేయు",,,,,1,,,,,
ఆవిగొను,"వేడిగొను,వేడియెక్కు",,,,,,,1,,,
ఆవిరిల్లు,చెమర్చు,,,1,,,,,,,
ఆవులించు-ఆవలించు,"జ్రుంభించు 2.నోరు తెరచికొనియుండు; వివ్రుతమగు,విచ్చు,విడు 3.బ్రద్దమగు,పగులు",,,,,,,1,,,
ఆశపడు,ఆపేక్షపడు,,,,2,,,1,,,
